48386808 function calls (48375879 primitive calls) in 1121.686 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40524    0.223    0.000    0.468    0.000 {method 'startswith' of 'unicode' objects}
    39379    0.212    0.000    5.302    0.000 id3.py:792(validate)
    13001    0.187    0.000    0.383    0.000 id3.py:1312(<lambda>)
    39458    0.183    0.000    0.511    0.000 re.py:186(compile)
    11083    0.182    0.000    0.380    0.000 id3.py:1715(<lambda>)
    78758    0.168    0.000    0.168    0.000 {iter}
       14    0.162    0.012    0.502    0.036 ogg.py:434(load)
    39458    0.154    0.000    0.234    0.000 id3.py:1244(__decode)
    45090    0.152    0.000    0.152    0.000 {range}
    39185    0.147    0.000    0.343    0.000 id3.py:233(__determine_bpi)
    20119    0.145    0.000    0.280    0.000 id3.py:740(validate)
    53536    0.140    0.000    0.140    0.000 {method 'find' of 'str' objects}
    46544    0.129    0.000    0.129    0.000 {method 'keys' of 'dict' objects}
    39200    0.125    0.000    0.125    0.000 id3.py:308(<lambda>)
     4893    0.125    0.000    0.277    0.000 _vorbis.py:175(__getitem__)
    57444    0.121    0.000    0.121    0.000 {method 'read' of 'cStringIO.StringI' objects}
    19272    0.117    0.000    0.568    0.000 id3.py:732(read)
    49353    0.115    0.000    0.115    0.000 {method 'extend' of 'list' objects}
    38857    0.115    0.000    0.115    0.000 id3.py:642(read)
    39395    0.112    0.000    0.112    0.000 id3.py:307(<lambda>)
     1447    0.097    0.000    1.021    0.001 id3.py:1851(ParseID3v1)
    51540    0.093    0.000    0.093    0.000 {method 'lower' of 'str' objects}
    40388    0.092    0.000    0.092    0.000 _util.py:111(__delitem__)
    38411    0.086    0.000    0.086    0.000 {built-in method groups}
    39590    0.085    0.000    0.088    0.000 id3.py:646(validate)
    39898    0.078    0.000    0.078    0.000 {method 'isdigit' of 'unicode' objects}
    40723    0.078    0.000    0.078    0.000 {method 'reverse' of 'list' objects}
      131    0.073    0.001    0.134    0.001 id3.py:565(decode)
     3738    0.067    0.000    0.122    0.000 id3.py:1331(<lambda>)
    16142    0.060    0.000    0.104    0.000 id3.py:169(<lambda>)
     7025    0.059    0.000    0.126    0.000 id3.py:1861(fix)
     2779    0.047    0.000    0.090    0.000 id3.py:1506(<lambda>)
    17019    0.045    0.000    0.045    0.000 id3.py:654(validate)
    21986    0.042    0.000    0.042    0.000 {method 'startswith' of 'str' objects}
      125    0.040    0.000    4.405    0.035 collection.py:169(read_flac_tag)
     2856    0.039    0.000    0.144    0.000 {filter}
     6242    0.037    0.000    0.050    0.000 {method 'split' of 'unicode' objects}
     1428    0.032    0.000    0.150    0.000 id3.py:146(getall)
     2856    0.032    0.000    0.218    0.000 id3.py:164(delall)
    16836    0.031    0.000    0.031    0.000 id3.py:652(read)
     4893    0.029    0.000    0.060    0.000 {method 'encode' of 'str' objects}
      139    0.028    0.000    0.317    0.002 _vorbis.py:70(load)
     5712    0.024    0.000    0.036    0.000 _util.py:114(keys)
     5732    0.022    0.000    0.032    0.000 flac.py:38(<lambda>)
     1494    0.017    0.000    0.049    0.000 {reduce}
     1519    0.016    0.000    0.016    0.000 {_codecs.utf_8_decode}
      494    0.014    0.000    2.058    0.004 flac.py:523(__read_metadata_block)
     1428    0.014    0.000    0.082    0.000 _util.py:47(items)
      529    0.011    0.000    0.019    0.000 id3.py:1193(<lambda>)
     1428    0.010    0.000    0.054    0.000 _util.py:43(values)
     1294    0.009    0.000    0.009    0.000 _vorbis.py:28(is_valid_key)
      887    0.008    0.000    0.015    0.000 apev2.py:38(is_valid_apev2_key)
     1943    0.008    0.000    0.018    0.000 _util.py:129(<lambda>)
       26    0.007    0.000    0.677    0.026 collection.py:239(read_ape_tag)
      125    0.007    0.000    0.048    0.000 flac.py:122(load)
     1494    0.006    0.000    0.055    0.000 flac.py:35(to_int_be)
     1519    0.006    0.000    0.022    0.000 utf_8.py:15(decode)
       23    0.005    0.000    0.017    0.001 apev2.py:221(__parse_tag)
     2908    0.005    0.000    0.005    0.000 id3.py:607(validate)
       14    0.005    0.000    0.550    0.039 collection.py:303(read_ogg_tag)
      736    0.005    0.000    0.019    0.000 apev2.py:242(__getitem__)
       14    0.004    0.000    0.005    0.000 ogg.py:229(to_packets)
       69    0.004    0.000    0.163    0.002 ogg.py:66(__init__)
      217    0.004    0.000    0.008    0.000 id3.py:1398(<lambda>)
      369    0.004    0.000    1.553    0.004 flac.py:50(__init__)
     1447    0.003    0.000    0.003    0.000 {sys.exc_info}
      928    0.003    0.000    0.003    0.000 {min}
      217    0.003    0.000    0.006    0.000 id3.py:1644(<lambda>)
      916    0.003    0.000    0.003    0.000 {max}
     1405    0.003    0.000    0.003    0.000 {method 'values' of 'dict' objects}
      428    0.003    0.000    0.004    0.000 id3.py:51(is_valid_frame_id)
      162    0.002    0.000    0.005    0.000 id3.py:1560(<lambda>)
       14    0.002    0.000    0.155    0.011 oggvorbis.py:68(__init__)
      139    0.002    0.000    0.320    0.002 _vorbis.py:59(__init__)
      151    0.002    0.000    0.005    0.000 apev2.py:252(__setitem__)
      625    0.001    0.000    0.001    0.000 flac.py:591(<lambda>)
      545    0.001    0.000    0.001    0.000 {cStringIO.StringIO}
      125    0.001    0.000    0.009    0.000 flac.py:669(__check_header)
      149    0.001    0.000    0.004    0.000 apev2.py:410(__getitem__)
      125    0.001    0.000    0.005    0.000 flac.py:486(load)
      528    0.001    0.000    0.001    0.000 {getattr}
        1    0.001    0.001 1121.686 1121.686 collection.py:22(scan)
      125    0.001    0.000    0.288    0.002 flac.py:247(load)
      149    0.001    0.000    0.001    0.000 apev2.py:403(__unicode__)
      125    0.001    0.000    0.008    0.000 flac.py:485(__init__)
      428    0.001    0.000    0.001    0.000 {method 'isalnum' of 'str' objects}
      108    0.001    0.000    0.018    0.000 id3.py:784(read)
      110    0.001    0.000    1.497    0.014 flac.py:210(__init__)
      136    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       23    0.001    0.000    0.002    0.000 apev2.py:138(__fill_missing)
      396    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
      151    0.001    0.000    0.001    0.000 apev2.py:362(APEValue)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of 'file' objects}
       26    0.001    0.000    0.217    0.008 apev2.py:79(__init__)
       26    0.001    0.000    0.203    0.008 apev2.py:89(__find_metadata)
       86    0.001    0.000    0.001    0.000 id3.py:1663(<lambda>)
     11/5    0.001    0.000    0.002    0.000 sre_parse.py:385(_parse)
       14    0.001    0.000    0.140    0.010 ogg.py:379(find_last)
       77    0.000    0.000    0.001    0.000 sre_parse.py:188(__next)
